
school_id,school_name,address,phone,email,website,opening_times,term_dates,inset_days,breakfast_club,after_school_club,notes
WS001,Ascot - Heathfield School,"Heathfield School, London Road, Ascot SL5 8BQ",01252 900290,yateley@worldofswimming.co.uk,https://www.worldofswimming.co.uk/swim-schools/ascot,Sun 16:30-17:30,,,,,"4 lane pool (25m x 12.5m), depth 1–2m; on-site parking, changing rooms and disabled changing facilities"
WS002,Finchampstead - Heathfield School,"Heathfield School, London Road, Ascot SL5 8BQ",01252 900290,yateley@worldofswimming.co.uk,https://www.worldofswimming.co.uk/swim-schools/finchampstead,Mon 13:30-19:00,,,,,"Pool size 8.5m x 3.65m, depth 1.2m; on-site parking, changing rooms and disabled changing facilities"
WS003,Bournemouth Collegiate School,"Bournemouth Collegiate School, College Road, Bournemouth BH5 2DY",02380 273657,info@worldofswimming.co.uk,https://www.worldofswimming.co.uk/swim-schools/bournemouth,Sun 11:15-12:45,,,,,"4 lane pool (25m x 10m), depth 1.2–2.25m; on-site parking, changing rooms, disabled changing facilities and large viewing gallery"
WS004,Andover - Farleigh School,"Farleigh School Red Rice, Andover SP11 7PW",02380 273657,andover@worldofswimming.co.uk,https://www.worldofswimming.co.uk/swim-schools/andover,Mon 18:30-20:00; Thu 12:15-13:15; Sat 08:45-11:45,"Autumn term dates: Sep 13 & 27, Oct 11 & 25, Nov 15 & 29, Dec 13",,,,"4 lane pool (22m x 8m) with depths 0.9–1.9m; on-site parking, changing rooms, disabled changing and viewing gallery"
WS005,Bishop's Waltham Junior School,"2 Oak Rd, Bishop's Waltham, Southampton SO32 1EP",02380 273657,info@worldofswimming.co.uk,https://www.worldofswimming.co.uk/swim-schools/bishops-waltham,Sat 08:15-10:15,,,,,"4 lane pool (20m x 8m), depth 0.9–2m; on-site parking, changing rooms, disabled changing facilities and viewing gallery"
WS006,Eastleigh - Holiday Inn Southampton,"Holiday Inn Southampton-Eastleigh, Leigh Road, Eastleigh SO50 9PG",02380 273657,info@worldofswimming.co.uk,https://www.worldofswimming.co.uk/swim-schools/eastleigh,Tue 15:30-18:30; Thu 15:30-18:00; Fri 15:30-18:00,,,,,"15m x 8m pool; depth 1–1.5m; on-site parking, changing rooms, disabled changing facilities"
WS007,Farnborough - Heathfield School,"Heathfield School, London Road, Ascot SL5 8BQ",01252 900290,yateley@worldofswimming.co.uk,https://www.worldofswimming.co.uk/swim-schools/farnborough,Mon 13:30-19:00; Tue 16:00-18:00; Wed 16:00-18:00; Thu 16:00-18:00; Fri 14:00-18:00; Sat 10:00-13:00,,,,,"5.5m x 3.5m pool; 1.2m depth; on-site parking, changing rooms, disabled changing facilities and benches poolside"
WS008,Havant - Barncroft Primary School,"Barncroft Primary School, Park Lane, Bedhampton, Havant PO9 3HN",02380 273657,info@worldofswimming.co.uk,https://www.worldofswimming.co.uk/swim-schools/havant,Sat 11:10-12:25,,,,,"3 lane pool (18.25m x 7.20m) with depth 1.08–1.28m; on-site parking, changing rooms, disabled changing and viewing gallery"
WS009,New Forest - Beaulieu Inn,"Beaulieu Inn, Beaulieu, Hampshire SO42 7YQ",02380 273657,info@worldofswimming.co.uk,https://www.worldofswimming.co.uk/swim-schools/new-forest,Mon 16:00-18:00; Thu 16:00-18:00; Fri 16:00-18:00,,,,,"Private pool; on-site parking, changing rooms and disabled changing facilities"
WS010,New Forest - Bartley Lodge,"Bartley Lodge, Cadnam, Near Lyndhurst, Hampshire SO40 2NR",02380 273657,info@worldofswimming.co.uk,https://www.worldofswimming.co.uk/swim-schools/new-forest,Tue 16:00-18:00; Wed 16:00-18:00; Thu 16:00-18:00,,,,,"Private pool; on-site parking, changing rooms and disabled changing facilities"
